4917994	1	Tom got fat.
4918078	1	Do you want to go and see a film this evening?
4918091	1	I can''t tell you my plans.
4918098	1	I can''t tell you what my plans are.
4918101	1	This offer is valid for five days.
4918108	1	He likes to eat raw carrots.
4918110	1	Would you like a glass of red wine?
4918118	1	I shared the recipe for gluten-free bread.
4918128	1	I don''t remember the combination.
4918138	1	The fear of failure is one of the most common fears in the world.
4918140	1	The fear of failure is one of the most widespread fears in the world.
4918178	1	He has nothing in common with her.
4918704	1	He hid his feelings.
4918705	1	He disguised his feelings.
4918778	1	I''m glad Tom isn''t here.
4918932	1	I''m going to meet Tom.
4918948	1	Tom isn''t going to win.
4918952	1	Everybody''s ready to go.
4918958	1	I wonder what''s going on.
4918959	1	I''m going to miss Boston.
4918974	1	Things are going too fast.
4918991	1	I''m not going to name names.
4918994	1	Tom is afraid to go outside.
4919000	1	Everyone''s going to be tired.
4919001	1	Is that going to happen soon?
4919003	1	Nobody''s going to rescue you.
4919010	1	What''s going to be different?
4919011	1	Where''s all that money going?
4919018	1	Everyone knows what''s going on.
4919020	1	Somebody''s going to notice you.
4919022	1	Tom is going to be heartbroken.
4919023	1	Do you think it''s going to snow?
4919024	1	Negotiations are still going on.
4919026	1	There''s something going on here.
4919028	1	Tom understands what went wrong.
4919029	1	Do you think that''ll happen soon?
4919030	1	I''m going to need some more time.
4919031	1	Tom went to Boston with a friend.
4919032	1	I''m going to need some more money.
4919033	1	I think Tom will go there tomorrow.
4919034	1	I wish everyone would just go away.
4919036	1	We''re going to be here all afternoon.
4919037	1	It''s going to be difficult to do that.
4919038	1	Tom and Mary went on a shopping spree.
4919039	1	I''m pretty sure that it won''t snow today.
4919040	1	Is Tom really going to Boston by himself?
4919041	1	I''m not going to do that unless you help me.
4919042	1	It''s going to take a while to get this done.
4919043	1	It''s going to be a while until Tom gets here.
4919044	1	It''s going to be difficult for us to do that.
4919046	1	It''s going to take me a while to get this done.
4919047	1	I often go out for a short walk just after lunch.
4919048	1	We''re going to keep doing this until someone tells us that we can''t.
4919815	1	In many countries, the death penalty is the most severe punishment.
4919862	1	Students here get their textbooks for free.
4919876	1	Tom has a scar on his face.
4919877	1	Tom likes raw carrots.
4919878	1	Tom likes eating raw carrots.
4919893	1	Dinosaurs could appear on Earth soon.
4921063	1	"They put forward the idea that ""a war will break out."""
4921077	1	They aim to stir unease in societies.
4921124	1	You have perfect eyesight.
4921439	1	I haven''t yet graduated.
4921440	1	Tom will graduate in October.
4921441	1	Tom just graduated from Harvard.
4921445	1	I''ll take that for granted.
4921446	1	We take nothing for granted.
4921447	1	We''ll take that for granted.
4921449	1	Tom is all grown up.
4921450	1	My kids grew up here.
4921452	1	Tom needs to grow up.
4921453	1	Tom grew a long beard.
4921454	1	The list keeps growing.
4921455	1	Tom has three grown sons.
4921456	1	The economy is growing fast.
4921457	1	Tom has three grown children.
4921458	1	Plants need sunlight to grow.
4921459	1	Radishes aren''t difficult to grow.
4921460	1	Go ahead and try it.
4921461	1	I want everybody to leave.
4921464	1	I''m sure this will happen again.
4921466	1	We''ll be ready by the time you get here.
4921559	1	2015 was the International Year of Soil and also the International Year of Light.
4921562	1	2016 is the International Year of Pulses.
4921564	1	2016 was declared the International Year of Pulses by the United Nations General Assembly.
4921584	1	"Who is your favorite female character in ""War and Peace""?"
4921587	1	She has a big house and two cars.
4921591	1	Do you still love me a little?
4921597	1	School isn''t for me.
4921600	1	No, today I''m not going to school.
4921645	1	The list keeps getting longer.
4921646	1	I was still living with my parents then.
4921895	1	I was born in Argentina, but I was educated in Brazil.
4921908	1	You shouldn''t speak to your parents that way.
4921912	1	We''re no longer living in the stone age.
4921927	1	If you understand, please raise your hand.
4921929	1	If you don''t understand, please raise your hand.
4921953	1	This video is the shit.
4921969	1	Were you born in the 20th century or in the 21st?
4921980	1	This school supplies textbooks to its students.
4922029	1	Get rid of such stupid ideas!
4922060	1	Please place all articles not related to the lesson inside your bag.
4922109	1	The train will remain at this station for approximately 2 minutes.
4922114	1	Is there anyone who can''t come tomorrow?
4922360	1	I will get off the train at the next station.
4922440	1	It''s hard for me to understand Italian when it is spoken quickly.
4922500	1	We are such stuff as dreams are made on, and our little life is rounded with a sleep.
4922501	1	Did you plan to eat all of that yourself?
4922599	1	Jane Goodall is a primatologist and an expert on chimpanzees.
4922600	1	Jane Goodall discovered that chimpanzees could use tools.
4922610	1	Jane Goodall discovered that chimpanzees are omnivorous, not vegetarian.
4922781	1	Tom painted the barn red.
4922783	1	We need to repaint the barn.
4922788	1	Tom had a crisis of faith.
4922888	1	What movies have you seen recently?
4922903	1	Let''s ask her when she gets back home.
4923008	1	At this moment someone opened the door to my prison cell.
4923087	1	The knight fell in battle.
4923252	1	If there''s some way to enjoy studying, could you teach me how?
4923330	1	She is terrified of hospitals.
4923385	1	We can open the windows.
4923386	1	There''s a lot at stake.
4923388	1	I hope Tom isn''t looking for us.
4923389	1	I''m saving as much as I can.
4923505	1	When acid comes in contact with metal, it causes a chemical reaction.
4923520	1	It''s cold outside, so he came inside the room.
4923528	1	These aren''t just any 3-D glasses.
4923529	1	Well, what shall we do for fun today...
4923659	1	Are you older than Tom?
4923702	1	I don''t watch TV very much.
4923703	1	I almost never watch TV.
4924133	1	They are going to get married tomorrow.
4924668	1	Who do you think is the tennis GOAT?
4924669	1	Who do you think is the G.O.A.T. of tennis?
4925205	1	Why don''t we just agree to disagree?
4925275	1	Just a little bit is left.
4925612	1	Even the best tennis players shank their shots occasionally.
4925615	1	Is this a fact or an opinion?
4925617	1	I have clearly demonstrated that you''ve lost the argument.
4925633	1	Kokkinakis banged your girlfriend. Sorry to tell you that, mate.
4926327	1	Tom and I are here ot help.
4926349	1	I am used to not to smoke.
4926420	1	Tell her I miss her.
4926543	1	I''ll buy what I need tomorrow.
4926652	1	It''ll only take a minute of your time.
4926662	1	They''re dimming the lights. The play is about to begin.
4926859	1	Should we stay or should we go?
4927263	1	She plays volleyball better than I.
4927267	1	He knows me better than I know myself.
4927304	1	She had less free time than I.
4927317	1	A bear is bigger than I.
4927439	1	The Mona Lisa is smaller than I thought.
4927473	1	Tom didn''t admit his mistake.
4927622	1	The average woman is taller than me.
4927625	1	Tom doesn''t have as much free time as I do.
4927651	1	Mary sewed her own wedding dress.
4927652	1	Mary is a good seamstress.
4927663	1	You are so annoying!
4927667	1	I warned him not to come here.
4927668	1	I warned her not to come here.
4927669	1	I warned them not to come here.
4927674	1	Tom is a terrible dancer.
4927675	1	Tom is a terrible kisser.
4927677	1	Tom is an Egyptologist.
4927681	1	He is learning very quickly.
4927715	1	This is the lake''s deepest point.
4927717	1	Tom is on the ship''s deck.
4927720	1	Tom may say something.
4927725	1	I have to charge my mobile phone.
4927726	1	I do not know what you mean.
4927748	1	I was trying to forget everything.
4927757	1	Can you show me another room?
4927773	1	He was young and foolish.
4927774	1	She was young and foolish.
4927776	1	I know what she''s capable of.
4927945	1	I went to bed at 9pm, but fell asleep at 10pm.
4928204	1	I can''t go even if I want to.
4928739	1	Prepare to have your mind blown.
4929243	1	Most Hollywood movies have happy endings
4929262	1	I was happy there.
4929353	1	A heavy frost is expected.
4929354	1	A heavy frost is expected tonight.
4929373	1	Though a man may go out to battle a thousand times against a thousand men, if he conquers himself, he is the greatest conqueror.
4929376	1	It is easy to see the fault of others, but it is hard to see one''s own.
4929415	1	Tom lost most of his belongings in the fire.
4929470	1	I love to watch people''s reactions when I say who I am.
4930441	1	This might sound strange, but he has suddenly disappeared.
4931153	1	I see the moon and the stars.
4931164	1	Free Caucasus!
4931173	1	He is getting fat.
4931455	1	Better not to yearn for impossible dreams.
4931548	1	I have never seen any reason to be frightened of the dark.
4931568	1	What the fuck are you talking about?
4931581	1	You are like cassandra.
4931713	1	Which color do you think she prefers?
4931736	1	In the Torah Lot offers his virgin daughter''s to be gang raped.
4931840	1	Let''s all help Tom.
4931841	1	Let''s give Tom a round of applause.
4931900	1	What is that little mound in the middle of the field?
4932005	1	Tom didn''t buy bread.
4932007	1	As I recall, Tom''s house is a little farther in from the main road.
4932008	1	You need to drive farther south to reach Boston.
4932009	1	The old man''s house is further up the road.
4932011	1	His name is further down the list.
4932076	1	This expression is very Chinese.
4932142	1	Tom would''ve been very proud of you.
4932227	1	Which color do you think Tom prefers?
4932231	1	Which color do you think Tom will like better?
4932239	1	I love to see people''s reactions when I tell them who I am.
4932242	1	I couldn''t go with you even if I wanted to.
4932674	1	My little daughter likes to sit on my shoulders.
4933315	1	I would like you to trust me.
4933460	1	Everybody was waiting the same fate - death.
4933755	1	Don''t be gross.
4933859	1	He recounted the accident to me as if he had seen it with his own eyes.
4933875	1	Tom and Mary have been married for over 30 years.
4933876	1	Tom and Mary will be celebrating their thirtieth wedding anniversary on Monday.
4933883	1	Good-looking people are good-looking no matter what they wear.
4934693	1	I will drink for you in spirit.
4935021	1	I''m saving up for my old age.
4935546	1	There were armed guards everywhere.
4935549	1	Guess what his name is.
4935551	1	I guess I''m in big trouble.
4935552	1	I guess it''s pretty cool.
4935555	1	I guess everyone makes mistakes.
4935557	1	I hired a guide.
4935558	1	Our tour guide''s name was Tom.
4935562	1	Can you handle the truth?
4935570	1	I''ve been trying to handle this myself.
4935571	1	I hung up the phone.
4935573	1	We were just hanging out.
4935575	1	Tom often hangs out with John and Mary.
